状態	種類	目	口	目の開き	口の開き
抵抗,脱力	舐め弱性癖なし	不機嫌	無表情	100	0
抵抗,脱力	舐め弱性癖なし	困り	無表情	70	0
抵抗,脱力	舐め弱性癖あり	大泣き	無表情	60	0
抵抗,脱力	舐め弱性癖あり	恥ずかし	無表情	80	0
抵抗,脱力	舐め強性癖なし	激怒	無表情	80	0
抵抗,脱力	舐め強性癖なし	不機嫌	無表情	70	0
抵抗,脱力	舐め強性癖あり	痛がり	無表情	50	0
抵抗,脱力	舐め強性癖あり	激怒	無表情	70	0
抵抗,脱力	フェラ弱性癖なし	不機嫌	無表情	100	0
抵抗,脱力	フェラ弱性癖なし	困り	無表情	70	0
抵抗,脱力	フェラ弱性癖あり	大泣き	無表情	60	0
抵抗,脱力	フェラ弱性癖あり	恥ずかし	無表情	80	0
抵抗,脱力	フェラ強性癖なし	激怒	無表情	80	0
抵抗,脱力	フェラ強性癖なし	不機嫌	無表情	70	0
抵抗,脱力	フェラ強性癖あり	痛がり	無表情	50	0
抵抗,脱力	フェラ強性癖あり	激怒	無表情	70	0
抵抗,脱力	イラマ弱性癖なし	不機嫌	無表情	100	0
抵抗,脱力	イラマ弱性癖なし	歪み左	無表情	70	0
抵抗,脱力	イラマ弱性癖あり	大泣き	無表情	60	0
抵抗,脱力	イラマ弱性癖あり	恥ずかし	無表情	80	0
抵抗,脱力	イラマ強性癖なし	激怒	無表情	80	0
抵抗,脱力	イラマ強性癖なし	激怒	無表情	0	0
抵抗,脱力	イラマ強性癖あり	痛がり	無表情	50	0
抵抗,脱力	イラマ強性癖あり	激怒	無表情	70	0
抵抗,脱力	口内射精性癖なし	アヘB	無表情	100	0
抵抗,脱力	口内射精性癖なし	激怒	無表情	0	0
抵抗,脱力	口内射精性癖あり	アヘB	無表情	0	0
抵抗,脱力	口内射精性癖あり	痛がり	無表情	50	0
抵抗,脱力	フェラ挿入	激怒	無表情	100	0
抵抗,脱力	イラマ挿入	激痛	無表情	100	0
抵抗,脱力	イラマ挿入	歪み右	無表情	100	0
抵抗,脱力	イラマ挿入	歪み左	無表情	100	0
抵抗,脱力	フェラ抜き	激怒	叫び	100	0
抵抗,脱力	イラマ抜き	激痛	叫び	100	0
抵抗,脱力	イラマ抜き	歪み右	叫び	100	0
抵抗,脱力	咳き込み	激痛	驚き	50	40
抵抗,脱力	咳き込み	歪み右	驚き	50	40
抵抗,脱力	咳き込み	歪み左	驚き	50	40
抵抗,脱力	飲み込み	痛がり	真剣	0	0
抵抗,脱力	吐き出し	アヘB	驚き	50	0
抵抗,脱力	口汁見せ	不機嫌	驚き	75	80
抵抗,脱力	口汁見せ	アヘA	驚き	50	80
抵抗痛がり	呼吸	激怒	困り	100	0
抵抗痛がり	呼吸	考え	真剣	100	10
抵抗痛がり	喘ぎ弱	激怒	食いしばり	80	0
抵抗痛がり	喘ぎ弱	不機嫌	痛がり	80	0
抵抗痛がり	喘ぎ強	激痛	食いしばり	100	20
抵抗痛がり	喘ぎ強	痛がり	大泣き	50	20
抵抗痛がり	喘ぎ台詞弱	激怒	食いしばり	80	0
抵抗痛がり	喘ぎ台詞弱	不機嫌	痛がり	80	0
抵抗痛がり	喘ぎ台詞強	激痛	食いしばり	100	20
抵抗痛がり	喘ぎ台詞強	痛がり	大泣き	50	20
抵抗痛がり	中出し性癖なし	激痛	食いしばり	0	0
抵抗痛がり	中出し性癖なし	歪み右	大泣き	50	20
抵抗痛がり	中出し性癖あり	痛がり	食いしばり	0	0
抵抗痛がり	中出し性癖あり	恥ずかし	大泣き	50	20
抵抗痛がり	外出し性癖なし	歪み右	食いしばり	50	0
抵抗痛がり	外出し性癖なし	激怒	困り	0	0
抵抗痛がり	外出し性癖あり	歪み右	困り	50	20
抵抗痛がり	外出し性癖あり	恥ずかし	食いしばり	80	0
抵抗痛がり	絶頂	痛がり	食いしばり	100	20
抵抗痛がり	絶頂	感じ	悲しい	50	40
抵抗痛がり	抜き	激痛	食いしばり	100	0
抵抗痛がり	抜き	激怒	困り	100	10
豹変	呼吸	大泣き	困り	100	10
豹変	呼吸	恥ずかし	困り	75	10
豹変	呼吸	悲しい	困り	0	0
豹変	絶頂後呼吸	痛がり	大泣き	0	50
豹変	絶頂後呼吸	痛がり	大泣き	50	50
豹変	中出し後呼吸	恥ずかし	困り	50	20
豹変	中出し後呼吸	大泣き	困り	75	20
豹変	外出し後呼吸	困り	困り	80	10
豹変	外出し後呼吸	恥ずかし	困り	80	10
豹変	喘ぎ弱ハズレ	悲しい	困り	100	0
豹変	喘ぎ弱ハズレ	大泣き	困り	0	0
豹変	喘ぎ弱ハズレ	恥ずかし	困り	60	0
豹変	喘ぎ弱アタリ	痛がり	困り	50	0
豹変	喘ぎ弱アタリ	感じ	困り	80	0
豹変	喘ぎ弱アタリ	大泣き	困り	100	0
豹変	喘ぎ強ハズレ	痛がり	困り	75	10
豹変	喘ぎ強ハズレ	大泣き	困り	50	10
豹変	喘ぎ強ハズレ	恥ずかし	困り	80	10
豹変	喘ぎ強アタリ	感じ	喜び	0	20
豹変	喘ぎ強アタリ	恥ずかし	無表情	50	20
豹変	喘ぎ強アタリ	アヘA	困り	80	40
豹変	喘ぎ台詞弱	痛がり	困り	50	0
豹変	喘ぎ台詞弱	感じ	困り	80	0
豹変	喘ぎ台詞弱	大泣き	困り	100	0
豹変	喘ぎ台詞強	感じ	喜び	0	20
豹変	喘ぎ台詞強	恥ずかし	無表情	50	20
豹変	喘ぎ台詞強	アヘA	困り	80	40
豹変	中出し性癖なし	激痛	食いしばり	100	20
豹変	中出し性癖なし	考え	大泣き	50	20
豹変	中出し性癖あり	恥ずかし	喜び	50	20
豹変	中出し性癖あり	アヘA	無表情	50	20
豹変	外出し性癖なし	困り	困り	0	20
豹変	外出し性癖なし	大泣き	困り	70	20
豹変	外出し性癖あり	アヘA	喜び	50	20
豹変	外出し性癖あり	悲しい	喜び	80	20
豹変	絶頂	痛がり	驚き	100	20
豹変	絶頂	感じ	激怒	50	50
豹変	絶頂	アヘC	笑顔	100	50
豹変	抜き	痛がり	困り	50	0
豹変	抜き	悲しい	困り	70	10
豹変	台詞	不機嫌	ツン	100	0
豹変	手コキ弱	悲しい	無表情	75	0
豹変	手コキ弱	苦笑い	喜び	100	0
豹変	手コキ強	痛がり	困り	80	0
豹変	手コキ強	恥ずかし	喜び	60	0
豹変	舐め弱性癖なし	悲しい	無表情	0	0
豹変	舐め弱性癖なし	恥ずかし	無表情	80	0
豹変	舐め弱性癖あり	アヘB	無表情	70	0
豹変	舐め弱性癖あり	アヘA	無表情	40	0
豹変	舐め強性癖なし	痛がり	無表情	50	0
豹変	舐め強性癖なし	困り	無表情	70	0
豹変	舐め強性癖あり	アヘB	無表情	40	0
豹変	舐め強性癖あり	アヘA	無表情	0	0
豹変	フェラ弱性癖なし	悲しい	無表情	0	0
豹変	フェラ弱性癖なし	恥ずかし	無表情	80	0
豹変	フェラ弱性癖あり	アヘB	無表情	70	0
豹変	フェラ弱性癖あり	アヘA	無表情	40	0
豹変	フェラ強性癖なし	痛がり	無表情	50	0
豹変	フェラ強性癖なし	困り	無表情	70	0
豹変	フェラ強性癖あり	アヘB	無表情	40	0
豹変	フェラ強性癖あり	アヘA	無表情	0	0
豹変	イラマ弱性癖なし	歪み左	無表情	70	0
豹変	イラマ弱性癖なし	痛がり	無表情	100	0
豹変	イラマ弱性癖あり	恥ずかし	無表情	0	0
豹変	イラマ弱性癖あり	アヘA	無表情	40	0
豹変	イラマ強性癖なし	痛がり	無表情	0	0
豹変	イラマ強性癖なし	大泣き	無表情	50	0
豹変	イラマ強性癖あり	うっとり	無表情	70	0
豹変	イラマ強性癖あり	アヘA	無表情	40	0
豹変	口内射精性癖なし	痛がり	無表情	0	0
豹変	口内射精性癖なし	大泣き	無表情	50	0
豹変	口内射精性癖あり	うっとり	無表情	70	0
豹変	口内射精性癖あり	アヘA	無表情	40	0
豹変	フェラ挿入	大泣き	無表情	70	0
豹変	イラマ挿入	大泣き	無表情	50	0
豹変	イラマ挿入	アヘB	無表情	100	0
豹変	イラマ挿入	痛がり	無表情	0	0
豹変	フェラ抜き	恥ずかし	叫び	70	0
豹変	イラマ抜き	痛がり	叫び	0	0
豹変	イラマ抜き	恥ずかし	叫び	50	0
豹変	咳き込み	痛がり	驚き	50	40
豹変	咳き込み	激痛	驚き	50	40
豹変	咳き込み	歪み右	驚き	50	40
豹変	飲み込み	痛がり	真剣	0	0
豹変	吐き出し	アヘB	驚き	50	0
豹変	口汁見せ	恥ずかし	驚き	75	80
豹変	口汁見せ	アヘA	驚き	50	80
豹変痛がり	呼吸	大泣き	困り	100	10
豹変痛がり	呼吸	恥ずかし	困り	75	10
豹変痛がり	喘ぎ弱	痛がり	食いしばり	80	0
豹変痛がり	喘ぎ弱	大泣き	痛がり	60	0
豹変痛がり	喘ぎ強	激痛	食いしばり	100	0
豹変痛がり	喘ぎ強	痛がり	大泣き	50	20
豹変痛がり	喘ぎ台詞弱	痛がり	食いしばり	80	0
豹変痛がり	喘ぎ台詞弱	大泣き	痛がり	60	0
豹変痛がり	喘ぎ台詞強	激痛	食いしばり	100	0
豹変痛がり	喘ぎ台詞強	痛がり	大泣き	50	20
豹変痛がり	中出し性癖なし	激痛	食いしばり	0	0
豹変痛がり	中出し性癖なし	歪み右	大泣き	50	20
豹変痛がり	中出し性癖あり	痛がり	食いしばり	0	0
豹変痛がり	中出し性癖あり	恥ずかし	大泣き	50	20
豹変痛がり	外出し性癖なし	歪み右	食いしばり	50	0
豹変痛がり	外出し性癖なし	痛がり	困り	0	0
豹変痛がり	外出し性癖あり	歪み右	困り	50	20
豹変痛がり	外出し性癖あり	恥ずかし	食いしばり	80	0
豹変痛がり	絶頂	痛がり	食いしばり	100	20
豹変痛がり	絶頂	感じ	悲しい	50	40
豹変痛がり	抜き	激痛	食いしばり	100	0
豹変痛がり	抜き	痛がり	困り	50	10
アヘ	呼吸	アヘA	アヘD	0	0
アヘ	呼吸	アヘA	アヘE	40	0
アヘ	絶頂後呼吸	アヘC	アヘE	0	0
アヘ	絶頂後呼吸	アヘA	アヘE	50	0
アヘ	中出し後呼吸	アヘA	アヘE	50	0
アヘ	中出し後呼吸	アヘB	アヘD	75	0
アヘ	外出し後呼吸	アヘA	アヘE	80	0
アヘ	外出し後呼吸	アヘB	アヘD	80	0
アヘ	台詞	無表情	無表情	100	0
アヘ	喘ぎ弱	アヘB	アヘD	75	0
アヘ	喘ぎ弱	アヘB	アヘD	50	0
アヘ	喘ぎ弱	アヘA	アヘE	70	0
アヘ	喘ぎ強	アヘB	アヘD	100	0
アヘ	喘ぎ強	アヘA	アヘE	70	0
アヘ	喘ぎ強	アヘA	アヘE	40	0
アヘ	喘ぎ台詞弱	アヘB	アヘD	75	0
アヘ	喘ぎ台詞弱	アヘB	アヘD	50	0
アヘ	喘ぎ台詞弱	アヘA	アヘE	70	0
アヘ	喘ぎ台詞強	アヘB	アヘD	100	0
アヘ	喘ぎ台詞強	アヘA	アヘE	70	0
アヘ	喘ぎ台詞強	アヘA	アヘE	40	0
アヘ	中出し	アヘC	アヘE	100	0
アヘ	中出し	アヘA	アヘE	40	0
アヘ	外出し	アヘB	アヘD	60	0
アヘ	外出し	アヘA	アヘE	70	0
アヘ	絶頂	アヘB	アヘD	100	0
アヘ	絶頂	アヘA	アヘE	50	0
アヘ	絶頂	アヘC	アヘE	0	0
アヘ	手コキ弱	アヘB	アヘD	50	0
アヘ	手コキ弱	アヘA	アヘE	70	0
アヘ	手コキ強	アヘB	アヘD	100	0
アヘ	手コキ強	アヘA	アヘE	70	0
アヘ	舐め弱性癖なし	悲しい	無表情	0	0
アヘ	舐め弱性癖なし	恥ずかし	無表情	80	0
アヘ	舐め弱性癖あり	アヘB	無表情	70	0
アヘ	舐め弱性癖あり	アヘA	無表情	40	0
アヘ	舐め強性癖なし	痛がり	無表情	50	0
アヘ	舐め強性癖なし	困り	無表情	70	0
アヘ	舐め強性癖あり	アヘB	無表情	40	0
アヘ	舐め強性癖あり	アヘA	無表情	0	0
アヘ	フェラ弱性癖なし	悲しい	無表情	0	0
アヘ	フェラ弱性癖なし	恥ずかし	無表情	80	0
アヘ	フェラ弱性癖あり	アヘB	無表情	70	0
アヘ	フェラ弱性癖あり	アヘA	無表情	40	0
アヘ	フェラ強性癖なし	痛がり	無表情	50	0
アヘ	フェラ強性癖なし	困り	無表情	70	0
アヘ	フェラ強性癖あり	アヘB	無表情	40	0
アヘ	フェラ強性癖あり	アヘA	無表情	0	0
アヘ	イラマ弱性癖なし	歪み左	無表情	70	0
アヘ	イラマ弱性癖なし	痛がり	無表情	100	0
アヘ	イラマ弱性癖あり	恥ずかし	無表情	0	0
アヘ	イラマ弱性癖あり	アヘA	無表情	40	0
アヘ	イラマ強性癖なし	痛がり	無表情	0	0
アヘ	イラマ強性癖なし	大泣き	無表情	50	0
アヘ	イラマ強性癖あり	うっとり	無表情	70	0
アヘ	イラマ強性癖あり	アヘA	無表情	40	0
アヘ	口内射精性癖なし	痛がり	無表情	0	0
アヘ	口内射精性癖なし	大泣き	無表情	50	0
アヘ	口内射精性癖あり	うっとり	無表情	70	0
アヘ	口内射精性癖あり	アヘA	無表情	40	0
アヘ	フェラ挿入	うっとり	無表情	50	0
アヘ	イラマ挿入	アヘB	無表情	100	0
アヘ	イラマ挿入	アヘA	無表情	50	0
アヘ	フェラ抜き	アヘB	アヘD	50	0
アヘ	イラマ抜き	アヘB	アヘD	50	0
アヘ	イラマ抜き	アヘA	アヘD	50	0
アヘ	咳き込み	激怒	アヘD	50	40
アヘ	咳き込み	激痛	アヘD	50	40
アヘ	咳き込み	歪み右	アヘD	50	40
アヘ	飲み込み	痛がり	真剣	0	0
アヘ	吐き出し	アヘB	驚き	50	0
アヘ	口汁見せ	アヘB	驚き	75	80
アヘ	口汁見せ	アヘA	驚き	50	80
台詞	hs_90_00_00_00_00	不機嫌	困り	100	0
台詞	hs_90_00_04_00_00	激怒	怒り	100	0
台詞	hs_90_00_04_02_00	困り	無表情	100	0
台詞	hs_90_00_91_00_00	激怒	無表情	100	0
台詞	hs_00_00_00_00_00	激怒	困り	100	0
台詞	hs_00_00_00_00_01	不機嫌	困り	0	0
台詞	hs_00_00_01_00_00	呆れ	困り	100	0
台詞	hs_00_00_02_00_00	がっかり	困り	100	0
台詞	hs_00_00_02_01_00	恥ずかし	困り	100	0
台詞	hs_00_00_02_02_00	恥ずかし	困り	100	0
台詞	hs_00_00_02_03_00	悲しい	困り	100	0
台詞	hs_00_00_03_00_00	激怒	困り	100	0
台詞	hs_00_00_03_01_00	痛がり	怒り	100	0
台詞	hs_00_00_03_02_00	激怒	困り	80	0
台詞	hs_00_00_04_00_00	不機嫌	困り	100	0
台詞	hs_00_00_04_01_00	不機嫌	困り	100	0
台詞	hs_00_00_04_02_00	不機嫌	無表情	100	0
台詞	hs_00_00_91_00_00	困り	無表情	0	0
台詞	hs_91_00_00_00_00	大泣き	困り	100	0
台詞	hs_10_00_00_00_00	悲しい	喜び	75	0
台詞	hs_10_00_00_00_01	大泣き	困り	75	0
台詞	hs_10_00_01_00_00	恥ずかし	無表情	75	0
台詞	hs_10_00_01_01_00	恥ずかし	怒り	75	0
台詞	hs_10_00_01_02_00	大泣き	困り	60	0
台詞	hs_10_00_02_00_00	悲しい	喜び	75	0
台詞	hs_10_00_02_01_00	恥ずかし	困り	75	0
台詞	hs_10_00_02_02_00	悲しい	喜び	75	0
台詞	hs_10_00_02_03_00	大泣き	困り	60	0
台詞	hs_10_00_03_00_00	恥ずかし	困り	75	0
台詞	hs_10_00_03_01_00	激怒	困り	100	0
台詞	hs_10_00_03_02_00	恥ずかし	困り	75	0
台詞	hs_10_00_04_00_00	大泣き	困り	75	0
台詞	hs_10_00_04_01_00	恥ずかし	無表情	75	0
台詞	hs_10_00_04_02_00	困り	無表情	0	0
台詞	hs_10_00_91_00_00	痛がり	無表情	60	0
台詞	hs_11_00_01_01_00	痛がり	無表情	75	0
台詞	hs_11_00_01_02_00	痛がり	無表情	60	0
台詞	hs_92_00_00_00_00	痛がり	困り	60	0
台詞	hs_92_00_00_00_00	無表情	無表情	100	0
台詞	Hs_92_00_00_00_01	無表情	無表情	100	0
台詞	hs_00_01_00_00_00	不機嫌	困り	80	0
台詞	hs_00_01_00_00_01	悲しい	困り	80	0
台詞	hs_00_01_00_01_00	困り	困り	0	0
台詞	hs_00_01_01_00_00	苦笑い	困り	80	0
台詞	hs_00_01_01_00_01	アヘB	困り	100	0
台詞	hs_00_01_01_01_00	アヘB	困り	100	0
台詞	hs_00_01_02_00_00	不機嫌	困り	100	0
台詞	hs_00_01_02_00_01	不機嫌	困り	0	0
台詞	hs_00_01_02_01_00	恥ずかし	困り	80	0
台詞	hs_00_01_02_02_00	恥ずかし	困り	100	0
台詞	hs_00_01_03_00_00	不機嫌	困り	100	0
台詞	hs_00_01_03_00_01	歪み右	困り	100	0
台詞	hs_00_01_03_01_00	不機嫌	困り	100	0
台詞	hs_00_01_04_00_00	不機嫌	困り	80	0
台詞	hs_10_01_00_00_00	大泣き	困り	60	0
台詞	hs_10_01_00_00_01	大泣き	喜び	60	0
台詞	hs_10_01_00_01_00	大泣き	無表情	60	0
台詞	hs_10_01_01_00_00	恥ずかし	喜び	75	0
台詞	hs_10_01_01_00_01	大泣き	喜び	75	0
台詞	hs_10_01_01_01_00	大泣き	無表情	60	0
台詞	hs_10_01_02_00_00	大泣き	無表情	60	0
台詞	hs_10_01_02_00_01	大泣き	喜び	50	0
台詞	hs_10_01_02_01_00	恥ずかし	喜び	60	0
台詞	hs_10_01_02_02_00	大泣き	無表情	75	0
台詞	hs_10_01_03_00_00	困り	困り	0	0
台詞	hs_10_01_03_00_01	悲しい	困り	75	0
台詞	hs_10_01_03_01_00	悲しい	無表情	75	0
台詞	hs_10_01_03_02_00	悲しい	無表情	75	0
台詞	hs_10_01_04_00_00	悲しい	困り	0	0
台詞	hs_10_01_05_00_00	大泣き	困り	60	0
台詞	hs_11_01_00_00_00	悲しい	困り	75	0
台詞	hs_11_01_01_00_00	痛がり	喜び	60	0
台詞	hs_11_01_03_00_00	悲しい	無表情	75	0
台詞	hs_11_01_03_01_00	痛がり	困り	60	0
台詞	hs_11_01_03_02_00	痛がり	困り	0	0
台詞	hs_20_01_00_00_00	アヘB	アヘD	60	0
台詞	hs_20_01_00_01_00	アヘB	アヘD	60	0
台詞	hs_20_01_01_00_00	アヘA	アヘE	60	0
台詞	hs_20_01_01_01_00	アヘB	アヘE	60	0
台詞	hs_20_01_02_00_00	アヘA	アヘE	40	0
台詞	hs_20_01_02_01_00	アヘA	アヘE	60	0
台詞	hs_20_01_02_02_00	アヘB	アヘE	100	0
台詞	hs_20_01_03_00_00	アヘB	アヘD	60	0
台詞	hs_20_01_03_00_01	アヘA	アヘE	60	0
台詞	hs_90_02_03_00_00	歪み左	無表情	80	0
台詞	hs_90_02_03_00_10	歪み左	無表情	60	0
台詞	hs_90_02_05_00_00	歪み右	食いしばり	50	0
台詞	hs_90_02_05_00_10	激痛	食いしばり	0	0
台詞	hs_90_02_05_01_00	歪み右	痛がり	50	0
台詞	hs_90_02_05_01_10	大泣き	食いしばり	50	0
台詞	hs_90_02_15_00_00	激怒	困り	100	20
台詞	hs_90_02_15_00_10	痛がり	困り	60	20
台詞	-	無表情	無表情	100	0
台詞	-	無表情	無表情	100	0
台詞	-	無表情	無表情	100	0
台詞	-	無表情	無表情	100	0
台詞	hs_90_02_91_00_00	痛がり	無表情	0	0
台詞	hs_90_02_91_00_10	痛がり	無表情	60	0
台詞	hs_00_02_00_01_00	不機嫌	困り	75	0
台詞	hs_00_02_00_01_10	激怒	困り	100	0
台詞	hs_00_02_00_02_00	不機嫌	困り	75	0
台詞	hs_00_02_00_02_10	痛がり	食いしばり	75	0
台詞	hs_00_02_00_03_00	痛がり	痛がり	60	0
台詞	hs_00_02_00_03_10	痛がり	食いしばり	40	0
台詞	hs_00_02_01_01_00	大泣き	困り	75	0
台詞	hs_00_02_01_01_10	痛がり	困り	100	0
台詞	hs_00_02_01_02_00	歪み左	痛がり	60	0
台詞	hs_00_02_01_02_10	痛がり	困り	75	0
台詞	hs_00_02_01_03_00	歪み左	痛がり	60	0
台詞	hs_00_02_01_03_10	激痛	食いしばり	100	0
台詞	hs_00_02_02_00_00	不機嫌	困り	75	0
台詞	hs_00_02_02_00_10	大泣き	困り	60	0
台詞	hs_00_02_02_03_00	不機嫌	困り	75	0
台詞	hs_00_02_02_03_10	激怒	困り	100	0
台詞	hs_00_02_02_06_00	不機嫌	困り	100	0
台詞	hs_00_02_02_06_10	歪み右	食いしばり	60	0
台詞	hs_00_02_03_00_00	困り	無表情	75	0
台詞	hs_00_02_03_00_10	大泣き	無表情	60	0
台詞	hs_00_02_03_03_00	不機嫌	困り	75	0
台詞	hs_00_02_03_03_10	歪み左	痛がり	75	0
台詞	hs_00_02_04_00_00	痛がり	困り	75	0
台詞	hs_00_02_04_00_10	歪み右	痛がり	75	0
台詞	hs_00_02_04_01_00	不機嫌	困り	100	0
台詞	hs_00_02_04_01_10	激怒	困り	100	0
台詞	hs_00_02_10_00_00	恥ずかし	困り	75	0
台詞	hs_00_02_10_00_01	ツン	困り	75	0
台詞	hs_00_02_10_00_10	大泣き	困り	60	0
台詞	hs_00_02_10_00_11	痛がり	困り	60	0
台詞	hs_00_02_10_01_00	不機嫌	困り	100	0
台詞	hs_00_02_10_01_01	激怒	困り	100	0
台詞	hs_00_02_10_01_10	不機嫌	困り	75	0
台詞	hs_00_02_10_01_11	ツン	困り	75	0
台詞	hs_00_02_11_00_00	不機嫌	困り	100	0
台詞	hs_00_02_11_00_10	恥ずかし	困り	75	0
台詞	hs_00_02_11_01_00	大泣き	困り	100	0
台詞	hs_00_02_11_01_10	激怒	困り	75	0
台詞	hs_00_02_13_00_00	不機嫌	困り	100	0
台詞	hs_00_02_13_00_01	不機嫌	困り	100	0
台詞	hs_00_02_13_00_10	激怒	困り	100	0
台詞	hs_00_02_13_00_11	激怒	困り	100	0
台詞	hs_00_02_13_01_00	不機嫌	困り	75	0
台詞	hs_00_02_13_01_01	不機嫌	困り	100	0
台詞	hs_00_02_13_01_10	歪み右	困り	75	0
台詞	hs_00_02_13_01_11	激怒	困り	75	0
台詞	hs_00_02_14_00_00	不機嫌	無表情	100	0
台詞	hs_00_02_14_00_10	恥ずかし	無表情	100	0
台詞	hs_00_02_14_01_00	大泣き	無表情	60	0
台詞	hs_00_02_14_01_10	痛がり	無表情	60	0
台詞	hs_00_02_15_00_00	不機嫌	困り	75	20
台詞	hs_00_02_15_00_10	大泣き	困り	75	20
台詞	hs_00_02_20_00_00	恥ずかし	困り	75	0
台詞	hs_00_02_20_00_10	恥ずかし	困り	0	0
台詞	hs_00_02_20_01_00	恥ずかし	困り	100	0
台詞	hs_00_02_20_01_10	恥ずかし	困り	75	0
台詞	hs_00_02_20_02_00	恥ずかし	無表情	100	0
台詞	hs_00_02_20_02_10	恥ずかし	無表情	75	0
台詞	hs_00_02_20_03_00	恥ずかし	無表情	100	0
台詞	hs_00_02_20_03_10	恥ずかし	無表情	75	0
